"","country","househld","rsex","rage","marstat6","childhh","married","readpap","whpaper","webnews","wnwsite1","supparty","closepty","partyidn","partyid1","politics","soctrust","ecpolicy","govtrust","mpstrust","conlabdf","spend1","dole","taxspend","incomgap","ub1poor","ccbeliev","letin","miecono","micultur","reasmig","asastay","friendob","raceori3","religion","hedqual","rearnd","welffeet","forgrel1","forgrel2","forgrel4","forgrel5","mnntpowr","unionsa","reconact","natbrit","nateng","nateuro","natscot","natwelsh","natni","natasia","natafric"
"975","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","not very much,","Most people can be trusted","to leave the European Union,","Almost never","Almost never","some difference,","Defence","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","8","Husbands or wives coming to join their spouses who live in Britain","Agree","Yes, a few","BLACK: of Caribbean origin","Christian - no denomination","O level or equiv","£1,601 - 1,800 p.m.","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"976","England",2,"Female",NA,"Married","No","Married/living as married","Yes","Daily Telegraph","At least once a week","Daily Mail or Mail Online/Mail on Sunday","Yes",NA,"UK Independence Party (UKIP)/Veritas","UK Independence Party (UKIP)/Veritas","quite a lot,","Most people can be trusted","to leave the European Union,","Only some of the time","Almost never","some difference,","Public transport","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","5 - Neither","5 - Neither","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","Yes, one","WHITE: of any origin","No religion","O level or equiv",NA,"Agree","Neither agree nor disagree","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","Disagree strongly","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"977","England",2,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people",NA,"Only some of the time","Almost never","or, not much difference?","Housing","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","5 - Neither",NA,"Disagree","Yes, a few","WHITE: of any origin","No religion","O level or equiv",NA,"Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"978","England",5,"Female",NA,"Living with a partner","Yes","Married/living as married","No",NA,"Never",NA,"No","Yes","Labour","Labour","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Help for industry","too high and discourage work","(None)","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1",NA,"Disagree strongly","No, none at all","WHITE: of any origin","Church of England/Anglican","O level or equiv","Less than £430 p.m.","Agree strongly",NA,NA,NA,"Agree","Can't choose","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"979","England",1,"Female",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","(Scottish) Daily Mail","Never",NA,"Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","1",NA,"Disagree","Yes, a few","WHITE: of any origin","No religion",NA,NA,"Neither agree nor disagree","Agree strongly","Disagree","Agree","Agree strongly","Agree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"980","England",5,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Never",NA,"No","No",NA,NA,"some,","Can t be too careful in dealing with people","to leave things as they are,","Most of the time","Only some of the time","some difference,","Education","(Neither)","Increase taxes and spend more on health, education etc","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","6","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","O level or equiv","£431 - 780 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"981","England",5,"Female",NA,"Married","Yes","Married/living as married","No",NA,"Several times a week","BBC News","No","Yes","Conservative","Conservative","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","some difference,","Health",NA,"Keep taxes and spending on these services at same level",NA,"is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","8","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","Degree","£1,101 - 1,300 p.m.","Disagree","Neither agree nor disagree","Neither agree nor disagree",NA,NA,"Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"982","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"A couple of times a month","Daily Mail or Mail Online/Mail on Sunday","No","Yes","Liberal Democrat","Liberal Democrat","some,","Can t be too careful in dealing with people","or, to work for the formation of a single European government?","Almost never","Almost never","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","5 - Neither","Coming to work in Britain from countries outside the European Union","Agree","Yes, a few","WHITE: of any origin","Roman Catholic","A level or equiv","£1,601 - 1,800 p.m.","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned","Mentioned",NA,NA,NA,NA,NA
"983","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Never",NA,"No","No","Liberal Democrat","Liberal Democrat","or, none at all?","Most people can be trusted","to leave things as they are,","Almost never","Almost never","or, not much difference?","Health","(Neither)","Reduce taxes and spend less on health, education etc","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Increased a little","0 - Extremely bad for economy","0 - Cultural life undermined","SPONTANEOUS ONLY: To access benefits or housing","Agree","No, none at all","WHITE: of any origin","Christian - no denomination","No qualification",NA,NA,NA,NA,NA,NA,NA,"No","Wholly retired from work","Mentioned",NA,NA,NA,NA,NA,NA,NA
"984","England",4,"Male",NA,"Married","Yes","Married/living as married","No",NA,"Every day","The Guardian/The Observer","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a little","4","5 - Neither","Coming to work in Britain from countries outside the European Union","Agree","Yes, a few","WHITE: of any origin","No religion","Higher educ below degree","£3,601 or more p.m.",NA,NA,NA,NA,NA,NA,"Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"985","Wales",3,"Female",NA,"Married","Yes","Married/living as married","Yes","(Scottish) Daily Mail","Every day","BBC News","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to leave the European Union,","Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Remain the same as it is","5 - Neither","5 - Neither",NA,"Agree","No, none at all","WHITE: of any origin","Church of England/Anglican","Degree","£1,801 - 2,200 p.m.","Agree","Neither agree nor disagree","Disagree","Disagree","Disagree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"986","Wales",4,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Sun/ Scottish Sun","Several times a week","Daily Mail or Mail Online/Mail on Sunday","No","Yes","Labour","Labour","some,","Most people can be trusted","to leave things as they are,","Only some of the time","Almost never","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","1",NA,"Disagree","Yes, a few","WHITE: of any origin","No religion","A level or equiv","£1,601 - 1,800 p.m.","Agree strongly","Neither agree nor disagree","Disagree","Disagree","Disagree","Disagree","Yes, staff association","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,"Mentioned",NA,NA,NA
"987","England",2,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","Yes","The Sun/ Scottish Sun","Never",NA,"No","No",NA,NA,"not very much,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Almost never","or, not much difference?","Education","(Neither)","Keep taxes and spending on these services at same level","about right,","... has more than enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","4","4","Refugees claiming asylum in Britain","Agree","No, none at all","WHITE: of any origin","No religion","CSE or equiv",NA,"Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No","Unemployed and registered at a JobCentre or JobCentre Plus","Mentioned",NA,NA,NA,NA,NA,NA,NA
"988","Scotland",2,"Male",NA,"Living with a partner","No","Married/living as married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Every day","BBC News","No","No","None","None","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Overseas aid","(Neither)","Reduce taxes and spend less on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","4","2",NA,"Disagree","Yes, a few","WHITE: of any origin","No religion","A level or equiv","£781 - 1,100 p.m.","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"989","England",2,"Male",NA,"Living with a partner","No","Married/living as married","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Housing","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","WHITE: of any origin","No religion","A level or equiv","£2,201 - 2,700 p.m.","Disagree","Agree","Agree strongly","Neither agree nor disagree","Neither agree nor disagree","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"990","England",5,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Several times a day","BBC News","Yes",NA,"Labour","Labour","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to increase the EU s powers,","Only some of the time","Almost never","... there is a great difference between them,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","...I don t believe that climate change is taking place","Reduced a little","5 - Neither","4",NA,"Disagree","Yes, a few","WHITE: of any origin","No religion","A level or equiv","Less than £430 p.m.","Agree","Agree strongly","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree strongly","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"991","England",4,"Female",NA,"Married","Yes","Married/living as married","No",NA,"Several times a week","BBC News","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Housing","(Neither)","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","7","6",NA,"Agree","Yes, a few","WHITE: of any origin","Church of England/Anglican","Degree","£2,701 - 3,600 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree","Disagree","Agree","Agree strongly","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"992","England",2,"Male",NA,"Married","No","Married/living as married","No",NA,"At least once a week","BBC News","Yes",NA,"Labour","Labour","... a great deal,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries outside the European Union","Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","Higher educ below degree","Refused information","Agree","Agree","Agree","Agree strongly","Disagree","Agree strongly","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"993","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","Yes","(Scottish) Daily Mail","Never",NA,"Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","... there is a great difference between them,","Education","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","3",NA,"Agree","No, none at all","WHITE: of any origin","Methodist","Higher educ below degree",NA,"Agree","Neither agree nor disagree","Disagree","Agree","Agree","Disagree","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"994","England",3,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"At least once a week","Other - UK site (PLEASE WRITE IN)","No","No",NA,NA,"quite a lot,","Can t be too careful in dealing with people",NA,"Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","5 - Neither","Coming to study in British universities","Disagree","No, none at all","WHITE: of any origin","No religion","CSE or equiv","£781 - 1,100 p.m.",NA,NA,NA,NA,NA,NA,"No","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"995","Scotland",4,"Female",NA,"Living with a partner","Yes","Married/living as married","No",NA,"A couple of times a month","BBC News","No","No","Conservative","Conservative","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Most of the time","Only some of the time","some difference,","Health","too high and discourage work","Increase taxes and spend more on health, education etc","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","6","6",NA,"Agree","Yes, a few","WHITE: of any origin","Presbyterian/Church of Scotland","A level or equiv","£781 - 1,100 p.m.",NA,"Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"996","Scotland",3,"Male",NA,"Living with a partner","Yes","Married/living as married","No",NA,"Several times a day","The Herald/Sunday Herald","No","No","None","None","or, none at all?","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Roads","too low and cause hardship","Keep taxes and spending on these services at same level","too large","... has more than enough to live on,","I believe that climate change is taking place but not as a result of human actions","Remain the same as it is","7","5 - Neither",NA,"Disagree","Yes, one","WHITE: of any origin","Roman Catholic","A level or equiv","£1,101 - 1,300 p.m.","Neither agree nor disagree","Neither agree nor disagree","Agree strongly","Agree","Disagree","Disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,"Mentioned",NA,NA,NA,NA
"997","England",1,"Male",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Express","Never",NA,"Yes",NA,"Conservative","Conservative","... a great deal,","Most people can be trusted","to leave the European Union,","Only some of the time","Almost never","or, not much difference?","Education","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","5 - Neither",NA,"Agree strongly","Yes, several","WHITE: of any origin","Church of England/Anglican",NA,NA,"Neither agree nor disagree","Agree","Agree strongly","Neither agree nor disagree","Disagree","Disagree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"998","England",1,"Female",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Labour","Labour","some,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","or, not much difference?","Housing","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Agree","Yes, several","BLACK: of Caribbean origin","Christian - no denomination","O level or equiv","£431 - 780 p.m.","Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"999","England",1,"Male",NA,"Divorced/dissolved civil partnership","No","Separated/divorced","Yes","(Scottish) Daily Mail","Never",NA,"No","No","Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Only some of the time","some difference,","Police and prisons","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined",NA,"Disagree","No, none at all","WHITE: of any origin","Church of England/Anglican","CSE or equiv",NA,"Agree strongly","Agree","Disagree strongly","Agree strongly","Agree strongly","Agree strongly","No","Wholly retired from work",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"1000","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","The Sun/ Scottish Sun","Every day","BBC News","No","No","None","None","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","about right,","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","2","1","Coming to work in Britain from countries inside the European Union","Neither agree nor disagree","Yes, a few","WHITE: of any origin","No religion","O level or equiv","£2,201 - 2,700 p.m.","Agree","Agree","Disagree","Agree","Agree strongly","Neither agree nor disagree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,"Mentioned",NA,NA,NA,NA,NA,NA
"1001","England",2,"Female",NA,"Married","No","Married/living as married","Yes","(Scottish) Daily Mail","Every day","BBC News","Yes",NA,"Conservative","Conservative","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","5 - Neither","6","Husbands or wives coming to join their spouses who live in Britain","Agree","Yes, one","WHITE: of any origin","No religion","A level or equiv","£1,801 - 2,200 p.m.","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","No","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,"Mentioned",NA,NA,NA,NA
"1002","England",3,"Male",NA,"Married","No","Married/living as married","Yes","Other (WRITE IN)","Every day","BBC News","No","No","Liberal Democrat","Liberal Democrat","not very much,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Only some of the time","Only some of the time","some difference,","Education","too high and discourage work","Reduce taxes and spend less on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","5 - Neither","5 - Neither",NA,"Disagree strongly","Yes, several","WHITE: of any origin","Roman Catholic",NA,"£1,301 - 1,600 p.m.",NA,NA,NA,NA,NA,NA,"Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,"Mentioned",NA,NA,NA,NA,NA
"1003","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","Yes","Liberal Democrat","Liberal Democrat","quite a lot,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","... there is a great difference between them,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","4","Husbands or wives coming to join their spouses who live in Britain","Disagree","No, none at all","WHITE: of any origin",NA,NA,"Refused information","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Yes, trade union","In paid work (or away temporarily) for at least 10 hours in week",NA,NA,NA,NA,NA,NA,NA,NA
"1004","England",5,"Female",NA,"Married","Yes","Married/living as married","No",NA,"Several times a week","BBC News","Yes",NA,"Conservative","Conservative","quite a lot,","Most people can be trusted","to leave the European Union,","Only some of the time","Almost never","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","7",NA,"Agree","No, none at all","WHITE: of any origin","Christian - no denomination","Degree","£781 - 1,100 p.m.","Disagree","Disagree","Agree","Agree","Disagree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,"Mentioned",NA,NA,NA,NA
"1005","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Never",NA,"No","No","None","None","not very much,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","or, not much difference?","Health","(Neither)","Keep taxes and spending on these services at same level","too large","is hard up,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined","Coming to work in Britain from countries inside the European Union","Agree","No, none at all","OTHER (WRITE IN)","Christian - no denomination","No qualification",NA,NA,NA,NA,NA,NA,NA,"No","Looking after the home","Mentioned",NA,NA,NA,NA,NA,NA,NA
"1006","England",1,"Female",NA,"Widowed/surviving partner from a civil partnership","No","Widowed","No",NA,"Less often than once a month","BBC News","Yes",NA,"Labour","Labour","some,","Most people can be trusted","to leave the European Union,","Only some of the time","Almost never","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place but not as a result of human actions","Reduced a lot","5 - Neither","6","Coming to study in British universities","Agree","No, none at all","WHITE: of any origin","No religion","No qualification",NA,"Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","No","Wholly retired from work","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"1007","England",4,"Male",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","Yes","Daily Telegraph","Every day","Daily Telegraph/The Sunday Telegraph","Yes",NA,"Conservative","Conservative","... a great deal,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Almost never","or, not much difference?","Education","too high and discourage work","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","3","5 - Neither","Coming to work in Britain from countries inside the European Union","Disagree","Yes, several","ASIAN: of Indian origin","Islam/Muslim","A level or equiv",NA,"Agree strongly","Agree strongly","Agree","Agree strongly","Agree","Agree strongly","No","In full-time education (not paid for by employer, including on vacation)","Mentioned",NA,NA,NA,NA,NA,NA,NA
"1008","England",1,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Several times a week","Daily Mail or Mail Online/Mail on Sunday","No","No","None","None","not very much,","Can t be too careful in dealing with people","to leave things as they are,","Only some of the time","Only some of the time","or, not much difference?","Housing","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","6","Husbands or wives coming to join their spouses who live in Britain","Agree","Yes, a few","WHITE: of any origin","No religion","O level or equiv","£1,101 - 1,300 p.m.","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"1009","England",1,"Male",NA,"Separated (after being married or in a civil partnership)","No","Separated/divorced","No",NA,"Never",NA,"Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Police and prisons","too low and cause hardship","Increase taxes and spend more on health, education etc","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","0 - Extremely bad for economy","0 - Cultural life undermined",NA,"Disagree strongly","No, none at all","WHITE: of any origin","Church of England/Anglican","No qualification","Refused information","Disagree","Agree strongly","Agree strongly","Agree strongly","Agree strongly","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned","Mentioned",NA,NA,NA,NA,NA,NA
"1010","England",6,"Female",NA,"Single (never married/never in a civil partnership)","No","Never married","No",NA,"Several times a day","BBC News","No","No","None","None","some,","Most people can be trusted","to leave things as they are,","Only some of the time","Only some of the time","... there is a great difference between them,","Health","(Neither)","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","8","5 - Neither","Husbands or wives coming to join their spouses who live in Britain","Neither agree nor disagree","Yes, several","ASIAN: of Bangladeshi origin","Islam/Muslim","A level or equiv",NA,"Disagree","Neither agree nor disagree","Agree","Disagree strongly","Neither agree nor disagree","Can't choose","No","In full-time education (not paid for by employer, including on vacation)","Mentioned",NA,NA,NA,NA,NA,NA,NA
"1011","England",2,"Female",NA,"Married","No","Married/living as married","No",NA,"Every day","BBC News","No","No","Conservative","Conservative","some,","Can t be too careful in dealing with people","to stay in the EU and try to reduce the EU s powers,","Almost never","Only some of the time","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large",NA,"I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a little","6","7","Coming to work in Britain from countries inside the European Union","Agree strongly","Yes, one","WHITE: of any origin","Jewish","A level or equiv",NA,NA,NA,NA,NA,NA,NA,"No","Looking after the home","Mentioned","Mentioned","Mentioned",NA,NA,NA,NA,NA
"1012","England",1,"Male",NA,"Single (never married/never in a civil partnership)","No","Never married","Yes","Other Irish/Northern Irish/Scottish/Welsh, regional or local daily morning paper","Several times a day","BBC News","Yes",NA,"Conservative","Conservative","some,","Can t be too careful in dealing with people","to leave the European Union,","Almost never","Almost never","some difference,","Health","too high and discourage work","Keep taxes and spending on these services at same level","too large","has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Reduced a lot","1","1","Refugees claiming asylum in Britain","Neither agree nor disagree","No, none at all","WHITE: of any origin","No religion","A level or equiv","£781 - 1,100 p.m.","Agree","Agree","Neither agree nor disagree","Agree","Agree strongly","Agree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
"1013","England",2,"Female",NA,"Single (never married/never in a civil partnership)","Yes","Never married","No",NA,"Several times a day","BBC News","No","No","Labour","Labour","some,","Most people can be trusted","to stay in the EU and try to reduce the EU s powers,","Almost never","Most of the time","some difference,","Help for industry","(Neither)","Increase taxes and spend more on health, education etc",NA,"has enough to live on,","I believe that climate change is taking place and is, at least partly, a result of human actions?","Remain the same as it is","7","7",NA,"Agree","Yes, a few","WHITE: of any origin","No religion","Degree","£1,801 - 2,200 p.m.","Disagree","Disagree","Neither agree nor disagree","Disagree",NA,"Neither agree nor disagree","No","In paid work (or away temporarily) for at least 10 hours in week","Mentioned",NA,NA,NA,NA,NA,NA,NA
